,count,mean,std,min,25%,50%,75%,max,variance
sensor_1,61249.0,472.8824354683341,26.436831642865926,445.0,445.0,462.54,491.19,518.67,698.9060673132371
sensor_2,61249.0,579.4200555111105,37.34264670176504,535.48,549.33,555.74,607.07,644.42,1394.4732626928433
sensor_3,61249.0,1417.896600271025,106.16759773766968,1242.67,1350.55,1367.68,1497.42,1613.0,11271.558809387643
sensor_4,61249.0,1201.9153592711716,119.32759068781478,1024.42,1119.49,1136.92,1302.62,1440.77,14239.07389935866
sensor_5,61249.0,8.031625822462406,3.622872117376346,3.91,3.91,7.05,10.52,14.62,13.125202378862967
sensor_6,61249.0,11.589457133994022,5.444016543155824,5.67,5.72,9.03,15.48,21.61,29.63731612215428
sensor_7,61249.0,283.32863312054076,146.88020952321904,136.17,142.92,194.96,394.28,570.81,21573.79594958472
sensor_8,61249.0,2228.6860337311628,145.34824288738034,1914.72,2211.95,2223.07,2323.93,2388.64,21126.111710448906
sensor_9,61249.0,8524.673301278388,336.9275465434419,7984.51,8320.59,8362.76,8777.25,9196.81,113520.1716197832
sensor_10,61249.0,1.0964450031837254,0.12768052859258314,0.93,1.02,1.03,1.26,1.32,0.016302317381681437
sensor_11,61249.0,42.874529216803545,3.24349153498898,36.04,41.76,42.33,45.22,48.36,10.52023733754517
sensor_12,61249.0,266.7356650720828,138.4791091630693,128.31,134.52,183.45,371.4,537.49,19176.463674597264
sensor_13,61249.0,2334.4275896749336,128.19785924922147,2027.57,2387.91,2388.06,2388.17,2390.49,16434.6911160832
sensor_14,61249.0,8067.811812111218,85.67054344902142,7845.78,8062.63,8083.81,8128.35,8261.65,7339.442014850668
sensor_15,61249.0,9.285603595160737,0.7503736864794557,8.1757,8.648,9.2556,9.3658,11.0663,0.5630606693607684
sensor_16,61249.0,0.02325246126467371,0.0046847056133810985,0.02,0.02,0.02,0.03,0.03,2.194646668404437e-05
sensor_17,61249.0,347.760028735163,27.808283453502003,302.0,330.0,334.0,368.0,399.0,773.3006286303133
sensor_18,61249.0,2228.613283482179,145.47249119146952,1915.0,2212.0,2223.0,2324.0,2388.0,21162.245693452172
sensor_19,61249.0,97.75139626769416,5.369423638908292,84.93,100.0,100.0,100.0,100.0,28.830710214067164
sensor_20,61249.0,20.864333458505442,9.936396142937777,10.16,10.94,14.93,28.56,39.89,98.73196830938875
sensor_21,61249.0,12.51899549380398,5.962697250948247,6.0843,6.5661,8.9601,17.1355,23.8852,35.55375850646578
