,count,mean,std,min,25%,50%,75%,max,variance
sensor_1,53759.0,472.9102070351011,26.389707310759178,445.0,445.0,462.54,491.19,518.67,696.4166519475365
sensor_2,53759.0,579.6723994121915,37.289399020462405,535.53,549.57,555.98,607.34,644.52,1390.4992793072627
sensor_3,53759.0,1419.9710132256923,105.9463406139554,1243.73,1352.76,1369.18,1499.37,1612.88,11224.627089488255
sensor_4,53759.0,1205.4420244052158,119.12342758532442,1023.77,1123.6550000000002,1138.89,1306.85,1439.23,14190.39099967603
sensor_5,53759.0,8.031986086050708,3.61383881855097,3.91,3.91,7.05,10.52,14.62,13.05983100646587
sensor_6,53759.0,11.600745921613125,5.431801597465489,5.71,5.72,9.03,15.49,21.61,29.504468594228634
sensor_7,53759.0,282.6067867705873,146.00530614005993,136.8,139.935,194.66,394.08,555.82,21317.54942105262
sensor_8,53759.0,2228.8791876709015,145.20981606834985,1914.77,2211.88,2223.07,2323.96,2388.39,21085.890682603997
sensor_9,53759.0,8525.200837069144,335.8120126761641,7985.56,8321.66,8361.2,8778.03,9215.66,112769.70785761622
sensor_10,53759.0,1.0949615878271546,0.12746884775626657,0.93,1.02,1.02,1.26,1.3,0.016248307148310267
sensor_11,53759.0,42.98517234323554,3.2323720587863733,36.23,41.91,42.39,45.35,48.51,10.448229126422858
sensor_12,53759.0,266.06903439424093,137.6595069498954,129.12,131.52,183.2,371.26,523.37,18950.1398536883
sensor_13,53759.0,2334.557252553061,128.06827104323716,2027.61,2387.9,2388.08,2388.17,2390.48,16401.482048004058
sensor_14,53759.0,8066.597682434569,84.83794969298572,7848.36,8062.14,8082.54,8127.195,8268.5,7197.477708109576
sensor_15,53759.0,9.329653544522778,0.7493354922324892,8.3357,8.6778,9.3109,9.3869,11.0669,0.5615036799193068
sensor_17,53759.0,348.30951096560574,27.754515422961234,303.0,331.0,335.0,369.0,399.0,770.3131263633929
sensor_18,53759.0,2228.806358005171,145.32798014258134,1915.0,2212.0,2223.0,2324.0,2388.0,21120.221812322518
sensor_19,53759.0,97.75683811082796,5.364066520346077,84.93,100.0,100.0,100.0,100.0,28.773209634697665
sensor_20,53759.0,20.78929593184397,9.869331200699564,10.18,10.91,14.88,28.47,39.34,97.40369834910192
sensor_21,53759.0,12.473422755259584,5.921615208351726,6.0105,6.5463000000000005,8.9292,17.0832,23.5901,35.06552667578246
